Material Description
an object made of gold
an object made of plastic
an object made of fabric
an object made of wood
an object made of metal
an object made of glass
an object made of stone
an object made of paper
an object made of ceramic
an object made of rubber
an object made of leather
an object made of wool
an object made of cotton
an object made of silk
an object made of bronze
an object made of silver
an object made of iron
an object made of steel
an object made of copper
an object made of brass
an object made of aluminum
an object made of titanium
an object made of marble
an object made of granite
an object made of clay
an object made of porcelain
an object made of bamboo
an object made of cardboard
an object made of acrylic
an object made of nylon
an object made of polyester
an object made of carbon fiber
an object made of kevlar
an object made of resin
an object made of ivory
an object made of jade
an object made of amber
an object made of coral
an object made of pearl
an object made of graphene
an object made of sandstone
an object made of limestone
an object made of chalk
an object made of asphalt
an object made of concrete
an object made of plaster
an object made of terrazzo
an object made of foam
an object made of styrofoam
an object made of epoxy
an object made of fiberglass
an object made of mica
an object made of slate
an object made of velvet
an object made of denim
an object made of linen
an object made of cashmere
an object made of suede
an object made of sequin
an object made of tweed
an object made of mesh
an object made of satin
an object made of corduroy
an object made of lycra
an object made of spandex
an object made of latex
an object made of bitumen
an object made of polycarbonate
an object made of vinyl
an object made of epoxy resin
an object made of plexiglass
an object made of cellophane
an object made of parchment
an object made of mica sheet
an object made of graphite
an object made of charcoal
an object made of cerium oxide
an object made of zirconium
an object made of magnesium
an object made of pottery
an object made of terracotta
an object made of mahogany
an object made of oak
an object made of pine
an object made of cedar
an object made of walnut
an object made of cherry wood
an object made of ebony
an object made of teak
an object made of beech
an object made of ash wood
an object made of willow
an object made of birch
an object made of elm
an object made of maple
an object made of basswood
an object made of poplar
an object made of sycamore
an object made of yew
an object made of larch
an object made of a ruby gem
an object made of a sapphire gem
an object made of an emerald gem
an object made of an amethyst gem
an object made of a diamond gem
an object made of a topaz gem
an object made of an opal gem
an object made of a turquoise gem
an object made of a garnet gem
an object made of a peridot gem
an object made of a citrine gem
an object made of an aquamarine gem
an object made of a spinel gem
an object made of a zircon gem
an object made of a jade gem
an object made of a moonstone gem
an object made of a tanzanite gem
an object made of a tourmaline gem
an object made of a onyx gem
an object made of a jasper gem
an object made of a lapis lazuli gem
an object made of a malachite gem
an object made of a carnelian gem
an object made of a chrysoprase gem
an object made of a chalcedony gem
an object made of a hematite gem
an object made of a sardonyx gem
an object made of a sunstone gem
an object made of a alexandrite gem
an object made of a bloodstone gem
